X	Y	OBJECTID	COMPKEY	UNITID	UNITDESC	CONDITION	OWNERSHIP	CURRENT_STATUS	PRIMARYDISTRICTCD	SECONDARYDISTRICTCD	OVERRIDEYN	ELMNTKEY	COMPTYPE	SEGKEY	DISTANCE	WIDTH	UNITTYPE	MEASDIST	RECEIPT_NBR	PANDD_NBR	PANDD_NBR_START	PAIDAREA	SUBAREA	SIDE	PERSO_NBR	PS_CONFIGURATION	PAY_BY_PHONE	WIRELESS_CARRIER	MODEM	MODEL	CARD_READER	CATEGORY	OVERRIDECOMMENT	WKD_RATE1	WKD_START1	WKD_END1	WKD_RATE2	WKD_START2	WKD_END2	WKD_RATE3	WKD_START3	WKD_END3	SAT_RATE1	SAT_START1	SAT_END1	SAT_RATE2	SAT_START2	SAT_END2	SAT_RATE3	SAT_START3	SAT_END3	SUN_RATE1	SUN_START1	SUN_END1	SUN_RATE2	SUN_START2	SUN_END2	SUN_RATE3	SUN_START3	SUN_END3	START_TIME_WKD	END_TIME_WKD	START_TIME_SAT	END_TIME_SAT	START_TIME_SUN	END_TIME_SUN	PEAK_HOUR	SHAPE_LNG	SHAPE_LAT
-122.3132005	47.66353313	84	529914	PSL-L044	UNIVERSITY WAY NE 0470 BLOCK W SIDE ( 141) 141 FT N/O NE 47TH ST (NEUW-47-11)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	35849	109	13223	161	26	PSL	141	L044	12044002	12044	University District	Core	W	1354	15806	87993	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3132005	47.66353313
-122.3130497	47.66014117	1030	527290	PSL-L045	UNIVERSITY WAY NE 0430 BLOCK E SIDE ( 108) 108 FT N/O NE 43RD ST (NEUW-43-06)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	81210	109	13221	127	-27	PSL	108	L045	12045002	12045	University District	Core	E	1354	15806	87960	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3130497	47.66014117
-122.3130336	47.66075385	1028	527291	PSL-L046	UNIVERSITY WAY NE 0430 BLOCK E SIDE ( 332) 332 FT N/O NE 43RD ST (NEUW-43-24)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	81210	109	13221	351	-27	PSL	332	L046	12046002	12046	University District	Core	E	1354	15806	87598	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3130336	47.66075385
-122.3132498	47.6610232	1026	527297	PSL-L048	UNIVERSITY WAY NE 0430 BLOCK W SIDE ( 428) 428 FT N/O NE 43RD ST (NEUW-43-41)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	81209	109	13221	448.5	28	PSL	428	L048	12048002	12048	University District	Core	W	1354	15806	88107	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3132498	47.6610232
-122.3130229	47.66161344	1465	529915	PSL-L049	UNIVERSITY WAY NE 0450 BLOCK E SIDE ( 101) 101 FT N/O NE 45TH ST (NEUW-45-06)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	35846	109	13222	126	-25	PSL	101	L049	12049002	12049	University District	Core	E	1354	15806	87940	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3130229	47.66161344
-122.3130087	47.66254381	1511	529916	PSL-L050	UNIVERSITY WAY NE 0450 BLOCK E SIDE ( 441) 441 FT N/O NE 45TH ST (NEUW-45-36)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	35846	109	13222	466	-25	PSL	441	L050	12050002	12050	University District	Core	E	1354	15806	86904	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3130087	47.66254381
-122.3132231	47.66178999	1469	529917	PSL-L051	UNIVERSITY WAY NE 0450 BLOCK W SIDE ( 165) 165 FT N/O NE 45TH ST (NEUW-45-15)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	35845	109	13222	190	25	PSL	165	L051	12051002	12051	University District	Core	W	1354	15806	87991	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3132231	47.66178999
-122.3132081	47.66277508	571	529918	PSL-L052	UNIVERSITY WAY NE 0450 BLOCK W SIDE ( 525) 525 FT N/O NE 45TH ST (NEUW-45-47)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	35845	109	13222	550	25	PSL	525	L052	12052002	12052	University District	Core	W	1354	15806	88051	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3132081	47.66277508
-122.312985	47.66356173	231	529924	PSL-L053	UNIVERSITY WAY NE 0470 BLOCK E SIDE ( 156) 156 FT N/O NE 47TH ST (NEUW-47-12)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	35850	109	13223	172	-27	PSL	156	L053	12053002	12053	University District	Core	E	1354	15806	87942	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.312985	47.66356173
-122.3129719	47.66442378	1458	529926	PSL-L056	UNIVERSITY WAY NE 0470 BLOCK E SIDE ( 471) 471 FT N/O NE 47TH ST (NEUW-47-40)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT4	 	N	35850	109	13223	487	-27	PSL	471	L056	12056002	12056	University District	Core	E	1354	15806	88206	T-MOBILE	3G	REV1	 	DISPLAY		2	480	659	2.5	660	1019	2.5	1020	1199	2	480	659	2.5	660	1019	2.5	1020	1199										08AM	08PM	08AM	08PM				-122.3129719	47.66442378
